epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,754.949,0.96211,0.59627,0.87798,0.72289,0.66011,0.71593,0.4522,0.92337,0.58743,0.88685,0.003065,0.003065,0.003065
45,772.023,0.95275,0.59298,0.87578,0.73588,0.64446,0.71276,0.44077,0.91163,0.59617,0.882,0.00302,0.00302,0.00302
46,789.235,0.96548,0.59402,0.8793,0.6903,0.69778,0.72772,0.45437,0.91328,0.58048,0.87586,0.002975,0.002975,0.002975
47,806.252,0.94796,0.58352,0.87686,0.70913,0.70186,0.73206,0.45467,0.91428,0.57924,0.87552,0.00293,0.00293,0.00293
48,823.714,0.95437,0.58191,0.87543,0.70363,0.68483,0.72349,0.45313,0.93305,0.5824,0.88362,0.002885,0.002885,0.002885
49,840.715,0.94193,0.57267,0.86939,0.73216,0.68296,0.73238,0.45988,0.91935,0.57082,0.87932,0.00284,0.00284,0.00284
50,857.642,0.93556,0.57834,0.87025,0.72603,0.69202,0.73797,0.46133,0.90708,0.55757,0.88367,0.002795,0.002795,0.002795
51,874.55,0.92861,0.56428,0.873,0.73477,0.68172,0.72285,0.46387,0.89816,0.56981,0.87796,0.00275,0.00275,0.00275
52,891.578,0.94562,0.56773,0.87324,0.7076,0.69388,0.72135,0.45603,0.91024,0.59469,0.88405,0.002705,0.002705,0.002705
53,908.7,0.93,0.55548,0.8692,0.7488,0.69509,0.73497,0.46716,0.89593,0.5563,0.87471,0.00266,0.00266,0.00266
54,925.704,0.91461,0.5631,0.86925,0.72146,0.70222,0.74339,0.46998,0.90649,0.56886,0.87689,0.002615,0.002615,0.002615
55,942.835,0.91455,0.55806,0.86398,0.70986,0.67368,0.72946,0.45946,0.91816,0.57357,0.88717,0.00257,0.00257,0.00257
56,959.825,0.91943,0.55735,0.86583,0.70434,0.6975,0.72975,0.45042,0.91238,0.58537,0.88135,0.002525,0.002525,0.002525
57,976.728,0.91781,0.55548,0.8671,0.71769,0.67963,0.72563,0.4621,0.874,0.56184,0.87183,0.00248,0.00248,0.00248
