epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5308,2.02418,1.96254,0.00507,0.48366,0.35206,0.37049,0.19832,1.9474,1.98212,0.00873,0.00165017,0.00165017,0.0686469
2,50.3337,1.8916,1.29153,0.0046,0.42849,0.5084,0.45298,0.22815,1.84903,2.02681,0.00728,0.00328698,0.00328698,0.0369503
3,72.801,1.88463,1.2422,0.0045,0.51879,0.52158,0.51545,0.27001,1.79724,1.21687,0.00665,0.0048938,0.0048938,0.00522383
4,94.966,1.84436,1.25058,0.00435,0.66146,0.43312,0.51835,0.25584,1.83292,1.77184,0.00759,0.004865,0.004865,0.004865
5,116.836,1.8358,1.21816,0.00427,0.58669,0.52739,0.53818,0.26948,1.86896,1.29791,0.00705,0.00482,0.00482,0.00482
6,138.621,1.80433,1.19482,0.00426,0.61433,0.55034,0.58447,0.316,1.69707,1.18492,0.00633,0.004775,0.004775,0.004775
7,160.846,1.78424,1.14491,0.00413,0.54274,0.56218,0.57659,0.30185,1.77362,1.26615,0.00678,0.00473,0.00473,0.00473
8,182.758,1.78264,1.12819,0.00402,0.69492,0.50908,0.60567,0.31733,1.67745,1.35456,0.00592,0.004685,0.004685,0.004685
9,204.719,1.77824,1.12972,0.00399,0.58705,0.56888,0.59221,0.29928,1.79143,1.21577,0.00694,0.00464,0.00464,0.00464
10,226.387,1.71772,1.08042,0.00386,0.57141,0.55215,0.58218,0.30414,1.70301,1.33489,0.00667,0.004595,0.004595,0.004595
11,248.342,1.72364,1.09511,0.00372,0.61017,0.61346,0.63547,0.36335,1.56658,1.00175,0.00561,0.00455,0.00455,0.00455
12,270.435,1.71114,1.05284,0.0038,0.67214,0.57808,0.6392,0.36252,1.62246,0.99583,0.00605,0.004505,0.004505,0.004505
13,292.391,1.68323,1.02856,0.00374,0.54481,0.6434,0.64092,0.34322,1.65584,1.22328,0.00572,0.00446,0.00446,0.00446
14,314.53,1.67718,1.04029,0.00366,0.59329,0.56479,0.60978,0.34482,1.60149,1.11463,0.00577,0.004415,0.004415,0.004415
15,336.386,1.67981,1.08035,0.00368,0.62232,0.61664,0.6477,0.36125,1.5891,0.9322,0.00526,0.00437,0.00437,0.00437
16,358.265,1.64601,1.03038,0.00356,0.57536,0.64621,0.646,0.36242,1.48985,1.02151,0.00496,0.004325,0.004325,0.004325
17,380.321,1.64353,1.00616,0.00357,0.63738,0.61369,0.66505,0.37613,1.52448,0.89214,0.0049,0.00428,0.00428,0.00428
18,402.348,1.66009,1.01417,0.0037,0.55983,0.61098,0.61699,0.36469,1.54933,1.2668,0.00545,0.004235,0.004235,0.004235
19,424.365,1.63807,1.00639,0.00357,0.64507,0.62006,0.65837,0.39839,1.4288,0.91548,0.00464,0.00419,0.00419,0.00419
20,446.228,1.58651,0.9724,0.00341,0.6064,0.65742,0.66138,0.37664,1.51186,0.94403,0.00517,0.004145,0.004145,0.004145
21,468.329,1.58922,0.96108,0.00338,0.66432,0.62688,0.68732,0.40716,1.43184,0.89107,0.00461,0.0041,0.0041,0.0041
22,490.355,1.60033,0.96861,0.00334,0.64271,0.64382,0.6711,0.39585,1.45224,0.90252,0.00519,0.004055,0.004055,0.004055
23,512.307,1.56934,0.96926,0.00337,0.59147,0.68121,0.68225,0.40364,1.46039,0.89092,0.00489,0.00401,0.00401,0.00401
24,534.15,1.58411,0.95393,0.00337,0.71657,0.63559,0.71497,0.41622,1.50615,0.82955,0.00526,0.003965,0.003965,0.003965
25,556.094,1.5727,0.94181,0.00333,0.6466,0.65912,0.68371,0.39395,1.4751,0.85778,0.00493,0.00392,0.00392,0.00392
26,577.957,1.55689,0.94965,0.00325,0.65336,0.66843,0.71515,0.41705,1.44727,0.90281,0.00512,0.003875,0.003875,0.003875
27,600.129,1.54452,0.95153,0.00325,0.63955,0.686,0.71271,0.43468,1.383,0.84347,0.00453,0.00383,0.00383,0.00383
28,622.052,1.52032,0.92079,0.00319,0.63245,0.6727,0.68282,0.39476,1.53167,0.99629,0.00518,0.003785,0.003785,0.003785
29,643.935,1.51928,0.90885,0.00319,0.63845,0.645,0.66991,0.38942,1.44309,0.94415,0.00481,0.00374,0.00374,0.00374
30,666.341,1.53088,0.91637,0.00318,0.66196,0.63104,0.68458,0.38159,1.55987,0.91773,0.0056,0.003695,0.003695,0.003695
31,688.224,1.5093,0.90615,0.00308,0.65695,0.65117,0.70085,0.42446,1.40468,0.89812,0.00457,0.00365,0.00365,0.00365
32,710.16,1.50497,0.89937,0.00305,0.67772,0.658,0.70547,0.42418,1.40153,0.91193,0.0045,0.003605,0.003605,0.003605
33,732.402,1.48606,0.89194,0.00303,0.69792,0.65698,0.72273,0.44386,1.34403,0.85033,0.00433,0.00356,0.00356,0.00356
34,754.127,1.49458,0.89509,0.00305,0.6949,0.67025,0.72304,0.43612,1.3495,0.80373,0.00421,0.003515,0.003515,0.003515
35,775.884,1.51159,0.89233,0.003,0.69056,0.6993,0.73485,0.44483,1.35516,0.87799,0.0044,0.00347,0.00347,0.00347
36,797.843,1.48672,0.8565,0.00296,0.71576,0.6543,0.72088,0.41806,1.46711,0.96003,0.00469,0.003425,0.003425,0.003425
37,820.06,1.48373,0.85922,0.00296,0.66841,0.66912,0.70964,0.44318,1.34767,0.84282,0.0043,0.00338,0.00338,0.00338
38,841.878,1.45868,0.861,0.00301,0.69058,0.68326,0.71717,0.4233,1.41978,0.7856,0.00464,0.003335,0.003335,0.003335
39,864.041,1.48562,0.88352,0.00298,0.66398,0.71162,0.74324,0.46224,1.31784,0.82921,0.00413,0.00329,0.00329,0.00329
40,886.292,1.44387,0.85505,0.00292,0.69245,0.67238,0.73688,0.4614,1.30483,0.81269,0.00419,0.003245,0.003245,0.003245
41,908.416,1.4564,0.84762,0.0029,0.65668,0.70783,0.7315,0.46044,1.29785,0.79309,0.00405,0.0032,0.0032,0.0032
42,930.308,1.46173,0.85449,0.00294,0.68417,0.71916,0.75305,0.47634,1.2658,0.77226,0.00394,0.003155,0.003155,0.003155
43,952.377,1.44821,0.84714,0.00287,0.66132,0.71584,0.73917,0.46152,1.27713,0.81108,0.00391,0.00311,0.00311,0.00311
44,974.296,1.43349,0.85079,0.00284,0.69658,0.6974,0.75115,0.46432,1.31977,0.76791,0.0041,0.003065,0.003065,0.003065
45,996.83,1.42696,0.83555,0.00282,0.71299,0.70692,0.75652,0.47815,1.2949,0.73022,0.00414,0.00302,0.00302,0.00302
46,1019.2,1.43208,0.8257,0.00283,0.72758,0.71966,0.76569,0.48338,1.29279,0.71152,0.00409,0.002975,0.002975,0.002975
47,1041.22,1.44054,0.82846,0.00286,0.654,0.72909,0.75189,0.47906,1.27809,0.75108,0.00403,0.00293,0.00293,0.00293
48,1063.36,1.41475,0.81872,0.00277,0.69414,0.72582,0.7512,0.47562,1.30434,0.74507,0.00412,0.002885,0.002885,0.002885
49,1085.75,1.43272,0.80379,0.00277,0.74453,0.70009,0.7681,0.48135,1.27136,0.78188,0.00385,0.00284,0.00284,0.00284
50,1107.51,1.40573,0.81577,0.00275,0.73556,0.71178,0.77111,0.47978,1.32004,0.79234,0.00407,0.002795,0.002795,0.002795
51,1129.5,1.39757,0.79603,0.00274,0.73108,0.71822,0.77576,0.49285,1.25838,0.73595,0.00402,0.00275,0.00275,0.00275
52,1151.42,1.41353,0.81283,0.00278,0.72573,0.70808,0.77269,0.48622,1.25455,0.84907,0.00391,0.002705,0.002705,0.002705
53,1173.41,1.41041,0.79438,0.00284,0.73405,0.71422,0.77389,0.47548,1.31125,0.74161,0.00409,0.00266,0.00266,0.00266
54,1195.51,1.38545,0.7776,0.00273,0.75127,0.69778,0.77036,0.4773,1.30019,0.7903,0.00402,0.002615,0.002615,0.002615
55,1217.93,1.37079,0.7769,0.00268,0.75209,0.7201,0.7813,0.4948,1.25351,0.72453,0.00388,0.00257,0.00257,0.00257
56,1240.14,1.38277,0.79945,0.00263,0.72801,0.70605,0.76923,0.46546,1.30139,0.75196,0.00393,0.002525,0.002525,0.002525
57,1262.58,1.37635,0.78695,0.00269,0.72656,0.7368,0.77904,0.5036,1.21082,0.72294,0.00368,0.00248,0.00248,0.00248
58,1284.53,1.38296,0.78265,0.00272,0.74659,0.72766,0.77355,0.48964,1.2468,0.75905,0.00383,0.002435,0.002435,0.002435
59,1306.51,1.37138,0.77787,0.00267,0.76203,0.6938,0.77011,0.49913,1.22989,0.72351,0.00378,0.00239,0.00239,0.00239
60,1328.62,1.3605,0.77781,0.00263,0.68158,0.71084,0.75024,0.47455,1.29164,0.76063,0.00402,0.002345,0.002345,0.002345
61,1350.75,1.37118,0.78042,0.00267,0.69571,0.7261,0.76798,0.49331,1.25028,0.77335,0.00389,0.0023,0.0023,0.0023
62,1372.71,1.35946,0.75624,0.00263,0.7266,0.72438,0.77363,0.49326,1.2833,0.74971,0.00406,0.002255,0.002255,0.002255
63,1394.59,1.33968,0.76361,0.00256,0.72284,0.71756,0.77125,0.49241,1.25058,0.77519,0.00388,0.00221,0.00221,0.00221
64,1416.55,1.35571,0.76604,0.00258,0.7246,0.71668,0.7613,0.4876,1.27261,0.76161,0.00397,0.002165,0.002165,0.002165
65,1438.6,1.35487,0.76085,0.00255,0.72261,0.71267,0.76278,0.48676,1.24682,0.74464,0.0038,0.00212,0.00212,0.00212
66,1460.33,1.34306,0.74984,0.00263,0.71431,0.72344,0.78295,0.50197,1.2311,0.71659,0.00376,0.002075,0.002075,0.002075
67,1482.48,1.32825,0.74692,0.00255,0.74623,0.70346,0.77116,0.49548,1.21451,0.72676,0.00358,0.00203,0.00203,0.00203
68,1504.36,1.34251,0.76154,0.00259,0.71386,0.73669,0.77326,0.49253,1.26916,0.75659,0.00388,0.001985,0.001985,0.001985
69,1526.35,1.34608,0.74871,0.00257,0.76799,0.69591,0.77184,0.48868,1.25054,0.77887,0.00376,0.00194,0.00194,0.00194
70,1548.46,1.32777,0.73585,0.00255,0.70297,0.74525,0.78123,0.49822,1.23005,0.69987,0.00375,0.001895,0.001895,0.001895
71,1570.29,1.32805,0.73523,0.00252,0.76987,0.73157,0.79886,0.52112,1.21063,0.68322,0.0037,0.00185,0.00185,0.00185
72,1592.25,1.31674,0.73317,0.0026,0.75826,0.72047,0.7904,0.51072,1.21283,0.68705,0.0038,0.001805,0.001805,0.001805
73,1614.49,1.32322,0.72769,0.00255,0.74518,0.7432,0.80136,0.50811,1.22541,0.66738,0.00378,0.00176,0.00176,0.00176
