epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,618.632,1.05452,0.66989,0.89526,0.72632,0.63177,0.69561,0.41219,0.99074,0.65378,0.89654,0.003065,0.003065,0.003065
45,632.556,1.04175,0.66049,0.89091,0.67726,0.64413,0.67556,0.40403,1.0125,0.67604,0.8983,0.00302,0.00302,0.00302
46,646.678,1.0468,0.65871,0.89147,0.70662,0.6081,0.6618,0.39254,1.00187,0.67318,0.9021,0.002975,0.002975,0.002975
47,660.588,1.0368,0.64836,0.88868,0.73183,0.6379,0.69094,0.40611,1.0114,0.63505,0.89971,0.00293,0.00293,0.00293
48,674.331,1.03865,0.65038,0.88824,0.72286,0.63384,0.69359,0.415,0.99468,0.65214,0.89361,0.002885,0.002885,0.002885
49,688.317,1.03068,0.6399,0.88687,0.6992,0.66028,0.69721,0.41878,0.96682,0.61611,0.87977,0.00284,0.00284,0.00284
50,701.92,1.02506,0.64908,0.88432,0.70388,0.65118,0.69492,0.41744,0.99335,0.64078,0.88655,0.002795,0.002795,0.002795
51,715.735,1.01522,0.63142,0.88546,0.66468,0.64519,0.68863,0.42217,0.99331,0.66204,0.89002,0.00275,0.00275,0.00275
52,729.09,1.03583,0.64162,0.888,0.69977,0.64995,0.69682,0.41022,0.9952,0.6722,0.8971,0.002705,0.002705,0.002705
53,743.518,1.01863,0.63335,0.8831,0.70088,0.63606,0.68278,0.40293,1.02348,0.66504,0.9068,0.00266,0.00266,0.00266
54,757.218,1.00554,0.63503,0.88544,0.73186,0.65075,0.70404,0.42103,0.98381,0.63888,0.88724,0.002615,0.002615,0.002615
55,771.011,1.00073,0.62312,0.8779,0.70103,0.65978,0.70052,0.42163,0.97527,0.64464,0.89089,0.00257,0.00257,0.00257
56,784.956,1.01815,0.64095,0.88085,0.69355,0.65035,0.69453,0.41399,0.97285,0.64241,0.88044,0.002525,0.002525,0.002525
57,799.205,1.00322,0.62056,0.87981,0.69716,0.66652,0.69576,0.42653,0.96671,0.61342,0.87739,0.00248,0.00248,0.00248
58,813.021,1.00598,0.6252,0.88261,0.74879,0.64186,0.70402,0.42319,0.96734,0.63965,0.88224,0.002435,0.002435,0.002435
59,827.108,0.99794,0.61513,0.88338,0.70023,0.66432,0.70631,0.43325,0.95485,0.6038,0.87722,0.00239,0.00239,0.00239
60,840.838,0.99776,0.62576,0.87664,0.68754,0.65784,0.70521,0.4273,0.94802,0.60904,0.87859,0.002345,0.002345,0.002345
61,854.716,0.99374,0.61554,0.87968,0.7354,0.67227,0.72064,0.43377,0.95594,0.62183,0.88032,0.0023,0.0023,0.0023
62,868.546,0.98795,0.61106,0.87677,0.72388,0.6561,0.71438,0.43128,0.96414,0.60539,0.87968,0.002255,0.002255,0.002255
63,882.89,0.98442,0.59821,0.87629,0.71634,0.67094,0.71842,0.43292,0.94028,0.60388,0.86992,0.00221,0.00221,0.00221
64,896.709,1.00023,0.61031,0.87697,0.75416,0.62681,0.71161,0.43537,0.96371,0.61668,0.87771,0.002165,0.002165,0.002165
65,910.142,0.98765,0.58976,0.87568,0.75937,0.64899,0.71839,0.43893,0.93996,0.60505,0.87242,0.00212,0.00212,0.00212
66,924.124,0.97358,0.5923,0.87323,0.74175,0.64676,0.71157,0.43564,0.94641,0.60034,0.87993,0.002075,0.002075,0.002075
67,937.86,0.9831,0.59991,0.87699,0.7469,0.65898,0.72377,0.44139,0.94945,0.60087,0.87646,0.00203,0.00203,0.00203
68,952.547,0.98202,0.60067,0.87599,0.74336,0.6638,0.71696,0.44328,0.94716,0.60734,0.87306,0.001985,0.001985,0.001985
69,966.203,0.98129,0.59733,0.87584,0.72431,0.69005,0.72886,0.44434,0.94557,0.59218,0.87529,0.00194,0.00194,0.00194
70,980.216,0.97475,0.59363,0.87236,0.77977,0.6361,0.72601,0.44218,0.9402,0.60122,0.87481,0.001895,0.001895,0.001895
71,993.699,0.98027,0.58545,0.87224,0.73874,0.66495,0.71938,0.4446,0.93359,0.60237,0.87353,0.00185,0.00185,0.00185
72,1008.12,0.9681,0.58313,0.87381,0.75072,0.6641,0.7312,0.44945,0.94603,0.59223,0.87874,0.001805,0.001805,0.001805
73,1022.14,0.96446,0.58159,0.8691,0.72005,0.68604,0.71815,0.43613,0.95176,0.59748,0.88089,0.00176,0.00176,0.00176
74,1036.47,0.96314,0.58389,0.86898,0.73025,0.68052,0.72814,0.45199,0.91871,0.57766,0.8739,0.001715,0.001715,0.001715
75,1050.42,0.95303,0.57392,0.87048,0.73598,0.68491,0.73434,0.45977,0.90401,0.58376,0.86934,0.00167,0.00167,0.00167
76,1063.57,0.95566,0.5711,0.87234,0.74589,0.6771,0.72165,0.44603,0.96127,0.62263,0.88993,0.001625,0.001625,0.001625
77,1077.61,0.95982,0.57002,0.86788,0.73597,0.68076,0.73764,0.45132,0.93044,0.59066,0.87698,0.00158,0.00158,0.00158
78,1091.49,0.95859,0.57651,0.86865,0.77809,0.66353,0.73479,0.45206,0.93001,0.58933,0.88143,0.001535,0.001535,0.001535
79,1105.35,0.94252,0.56844,0.86802,0.77324,0.65284,0.73058,0.44918,0.94173,0.62002,0.87904,0.00149,0.00149,0.00149
80,1119.76,0.94655,0.56596,0.86588,0.75269,0.66618,0.73053,0.44761,0.94471,0.59573,0.88122,0.001445,0.001445,0.001445
81,1133.64,0.94706,0.56836,0.86764,0.77245,0.66374,0.73616,0.45594,0.92555,0.57823,0.8713,0.0014,0.0014,0.0014
82,1147.57,0.93216,0.5608,0.86593,0.74133,0.67133,0.72995,0.4614,0.91971,0.57345,0.87204,0.001355,0.001355,0.001355
83,1161.37,0.93656,0.55131,0.86339,0.76838,0.64943,0.72823,0.45676,0.92105,0.58923,0.87635,0.00131,0.00131,0.00131
84,1175.2,0.93067,0.55851,0.86349,0.77477,0.65824,0.7338,0.46151,0.91372,0.58229,0.8689,0.001265,0.001265,0.001265
85,1189.3,0.92878,0.54559,0.85999,0.73885,0.69458,0.73805,0.45963,0.91692,0.59873,0.8599,0.00122,0.00122,0.00122
86,1203.16,0.9213,0.54217,0.86074,0.7171,0.69479,0.73858,0.45956,0.91856,0.59443,0.86977,0.001175,0.001175,0.001175
87,1217.07,0.93902,0.55194,0.86163,0.71867,0.67958,0.73232,0.45838,0.91939,0.57983,0.86894,0.00113,0.00113,0.00113
88,1231.1,0.92799,0.54734,0.86436,0.74773,0.68198,0.73927,0.45971,0.92868,0.59613,0.876,0.001085,0.001085,0.001085
89,1245.18,0.93366,0.55626,0.86615,0.77633,0.66706,0.7325,0.45629,0.91634,0.58523,0.87305,0.00104,0.00104,0.00104
90,1259.1,0.92101,0.54127,0.85675,0.77892,0.67589,0.73866,0.45663,0.9197,0.56586,0.87571,0.000995,0.000995,0.000995
