epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,889.365,1.5658,0.97413,0.00308,0.6857,0.60762,0.68324,0.41802,1.36063,0.9457,0.00408,0.003065,0.003065,0.003065
45,909.336,1.56849,0.95719,0.00314,0.72105,0.59882,0.67432,0.41076,1.40099,0.8663,0.00438,0.00302,0.00302,0.00302
46,929.329,1.56759,0.94789,0.00311,0.72173,0.59228,0.693,0.41502,1.40673,0.86043,0.00428,0.002975,0.002975,0.002975
47,948.974,1.54311,0.93006,0.00304,0.70104,0.63005,0.69591,0.41705,1.36602,0.83151,0.0041,0.00293,0.00293,0.00293
48,969.104,1.56535,0.92991,0.00308,0.69219,0.62244,0.6892,0.41731,1.40185,0.84892,0.00443,0.002885,0.002885,0.002885
49,989.052,1.56687,0.92561,0.00304,0.73397,0.61474,0.71136,0.4249,1.36907,0.87637,0.00419,0.00284,0.00284,0.00284
50,1008.86,1.53557,0.92358,0.003,0.71887,0.62025,0.69787,0.42625,1.39516,0.82382,0.0043,0.002795,0.002795,0.002795
51,1028.81,1.52939,0.92322,0.00302,0.70393,0.64064,0.7038,0.42866,1.37181,0.81809,0.00415,0.00275,0.00275,0.00275
52,1048.75,1.54821,0.92475,0.00305,0.68895,0.64808,0.69785,0.42453,1.35782,0.91292,0.00432,0.002705,0.002705,0.002705
53,1068.49,1.53619,0.90509,0.00308,0.71956,0.64352,0.71629,0.43888,1.33182,0.78891,0.004,0.00266,0.00266,0.00266
54,1088.26,1.52355,0.91306,0.003,0.72742,0.62317,0.69393,0.4176,1.3771,0.82681,0.00411,0.002615,0.002615,0.002615
55,1107.83,1.51235,0.89572,0.00296,0.67106,0.65262,0.69636,0.42555,1.34294,0.83004,0.004,0.00257,0.00257,0.00257
56,1127.78,1.51796,0.90932,0.0029,0.72283,0.63776,0.70836,0.4202,1.37076,0.8744,0.00408,0.002525,0.002525,0.002525
57,1147.77,1.49569,0.90742,0.00292,0.76031,0.61424,0.70353,0.43407,1.35968,0.82773,0.00405,0.00248,0.00248,0.00248
58,1167.61,1.4964,0.8951,0.00292,0.69451,0.64226,0.69348,0.41386,1.38161,0.85015,0.00421,0.002435,0.002435,0.002435
59,1187.28,1.48716,0.90238,0.00289,0.73064,0.61971,0.70617,0.43439,1.3172,0.82121,0.00394,0.00239,0.00239,0.00239
60,1207.4,1.49474,0.90405,0.00288,0.74353,0.60099,0.70841,0.43705,1.35791,0.80761,0.00411,0.002345,0.002345,0.002345
61,1227.18,1.49858,0.8936,0.00293,0.75315,0.60301,0.70712,0.44257,1.31216,0.83649,0.00387,0.0023,0.0023,0.0023
62,1247.66,1.4791,0.88203,0.00287,0.74114,0.60071,0.7104,0.43247,1.36041,0.81589,0.004,0.002255,0.002255,0.002255
63,1267.62,1.47719,0.88411,0.00286,0.64914,0.66678,0.70673,0.43179,1.36007,0.83655,0.00403,0.00221,0.00221,0.00221
64,1287.66,1.48306,0.88089,0.00284,0.68601,0.64898,0.711,0.44057,1.34984,0.79953,0.00404,0.002165,0.002165,0.002165
65,1307.53,1.50047,0.88123,0.00285,0.74069,0.62775,0.71499,0.44256,1.32961,0.78886,0.00406,0.00212,0.00212,0.00212
66,1327.74,1.4821,0.87592,0.00289,0.70836,0.63421,0.71351,0.44738,1.32443,0.77753,0.00385,0.002075,0.002075,0.002075
67,1347.47,1.45917,0.86021,0.0028,0.73508,0.62218,0.71498,0.44479,1.32326,0.78138,0.00391,0.00203,0.00203,0.00203
68,1367.32,1.48048,0.87943,0.00284,0.70899,0.63868,0.70925,0.44566,1.30382,0.785,0.0038,0.001985,0.001985,0.001985
69,1387.35,1.47937,0.86693,0.00285,0.70523,0.62754,0.70707,0.44086,1.33493,0.80948,0.00393,0.00194,0.00194,0.00194
70,1407.19,1.46038,0.87371,0.00282,0.73045,0.62152,0.70989,0.43038,1.33778,0.8208,0.00387,0.001895,0.001895,0.001895
71,1427.12,1.45656,0.85819,0.00279,0.74711,0.63685,0.71767,0.4481,1.30522,0.83097,0.0038,0.00185,0.00185,0.00185
72,1447,1.45351,0.85252,0.00284,0.72352,0.64539,0.71603,0.44013,1.35064,0.80459,0.004,0.001805,0.001805,0.001805
73,1467.23,1.45868,0.845,0.00283,0.69043,0.67705,0.72664,0.44683,1.3243,0.77219,0.00385,0.00176,0.00176,0.00176
74,1487.05,1.45549,0.85978,0.00272,0.76268,0.63626,0.72837,0.45189,1.32022,0.79679,0.0039,0.001715,0.001715,0.001715
75,1506.96,1.43456,0.84283,0.00274,0.72448,0.66369,0.72932,0.45964,1.27705,0.78139,0.0038,0.00167,0.00167,0.00167
76,1527.46,1.44352,0.84231,0.00279,0.74266,0.63308,0.72343,0.44988,1.31077,0.81918,0.00384,0.001625,0.001625,0.001625
77,1547.43,1.45015,0.84795,0.00274,0.72022,0.65177,0.72879,0.44914,1.31032,0.80514,0.0038,0.00158,0.00158,0.00158
78,1567.34,1.44029,0.84433,0.00274,0.73482,0.62838,0.72115,0.44085,1.33097,0.79304,0.00391,0.001535,0.001535,0.001535
79,1587.54,1.42687,0.82853,0.00274,0.75529,0.63179,0.73218,0.45898,1.29275,0.77005,0.00385,0.00149,0.00149,0.00149
80,1607.54,1.43495,0.84008,0.00269,0.70121,0.65936,0.73543,0.45903,1.2799,0.76692,0.00365,0.001445,0.001445,0.001445
81,1627.38,1.42927,0.83948,0.00269,0.72643,0.65844,0.72842,0.45645,1.29658,0.78391,0.00372,0.0014,0.0014,0.0014
82,1647.19,1.40677,0.83815,0.0027,0.70424,0.6568,0.73335,0.45776,1.28303,0.7818,0.00367,0.001355,0.001355,0.001355
83,1666.97,1.4276,0.82257,0.00269,0.68952,0.6566,0.72298,0.45522,1.27341,0.76588,0.00367,0.00131,0.00131,0.00131
84,1686.75,1.41669,0.83699,0.00268,0.72913,0.6294,0.72015,0.44835,1.29608,0.80707,0.00371,0.001265,0.001265,0.001265
85,1706.78,1.40281,0.80179,0.00265,0.68297,0.67731,0.72972,0.46166,1.27794,0.7745,0.00367,0.00122,0.00122,0.00122
86,1726.55,1.39993,0.81417,0.00264,0.76138,0.6348,0.72993,0.45848,1.2803,0.79306,0.00372,0.001175,0.001175,0.001175
87,1746.34,1.43764,0.84329,0.00264,0.71525,0.64159,0.72442,0.44876,1.30911,0.80053,0.00379,0.00113,0.00113,0.00113
88,1766.45,1.41069,0.8113,0.00266,0.73431,0.63788,0.72862,0.4645,1.27362,0.78544,0.00375,0.001085,0.001085,0.001085
89,1786.76,1.43067,0.82882,0.00269,0.73182,0.65354,0.73198,0.46144,1.27174,0.78223,0.00368,0.00104,0.00104,0.00104
90,1806.46,1.39209,0.81267,0.00257,0.73652,0.65106,0.73308,0.46388,1.27717,0.78167,0.00375,0.000995,0.000995,0.000995
91,1841.57,1.33108,0.78164,0.00269,0.72313,0.62894,0.71389,0.44849,1.3062,0.84064,0.00387,0.00095,0.00095,0.00095
92,1860.95,1.32428,0.76043,0.00273,0.67917,0.6787,0.71876,0.45216,1.29027,0.78625,0.00378,0.000905,0.000905,0.000905
93,1880.64,1.31869,0.75415,0.00266,0.70417,0.67042,0.72546,0.45944,1.27838,0.76341,0.00375,0.00086,0.00086,0.00086
94,1900.07,1.2936,0.74124,0.00264,0.72618,0.64057,0.72003,0.45577,1.27393,0.79002,0.00368,0.000815,0.000815,0.000815
95,1919.51,1.29244,0.73907,0.00256,0.72567,0.6494,0.72547,0.45243,1.28448,0.78426,0.00374,0.00077,0.00077,0.00077
96,1939.07,1.29729,0.73827,0.00258,0.73915,0.65138,0.72993,0.46305,1.27469,0.76874,0.00371,0.000725,0.000725,0.000725
97,1958.79,1.28171,0.73264,0.00255,0.72847,0.66527,0.72436,0.45775,1.28544,0.78234,0.00377,0.00068,0.00068,0.00068
98,1978.24,1.29198,0.72801,0.00257,0.7071,0.66743,0.72198,0.45428,1.28497,0.78274,0.00369,0.000635,0.000635,0.000635
99,1997.82,1.29295,0.73258,0.00253,0.74723,0.64632,0.72764,0.46172,1.27853,0.77957,0.00371,0.00059,0.00059,0.00059
100,2017.3,1.29847,0.73821,0.00255,0.74871,0.63567,0.72798,0.46437,1.26348,0.78908,0.00366,0.000545,0.000545,0.000545
