epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3533,1.52712,1.59358,1.04429,0.91253,0.2114,0.32556,0.17778,1.45712,1.41847,1.0451,0.00165017,0.00165017,0.0686469
2,36.1382,1.46017,1.13009,1.01964,0.2892,0.42905,0.34581,0.19581,1.45939,1.35717,1.0748,0.00328698,0.00328698,0.0369503
3,51.4977,1.45237,1.11104,1.02512,0.43553,0.40024,0.38583,0.21129,1.49665,1.19298,1.07895,0.0048938,0.0048938,0.00522383
4,66.6899,1.3966,1.06401,1.0032,0.38933,0.42531,0.38596,0.19215,1.54311,1.26503,1.08564,0.004865,0.004865,0.004865
5,81.9668,1.38376,1.04421,0.99594,0.48391,0.39426,0.4106,0.22733,1.33774,1.50838,1.02423,0.00482,0.00482,0.00482
6,97.2661,1.35458,1.00584,0.99003,0.43489,0.48687,0.46812,0.26122,1.27943,1.00904,0.98582,0.004775,0.004775,0.004775
7,112.437,1.3401,0.965,0.9817,0.47218,0.48425,0.46386,0.26611,1.24583,1.00648,0.96964,0.00473,0.00473,0.00473
8,128.289,1.31024,0.95473,0.97638,0.52812,0.49165,0.49263,0.2757,1.22768,0.96815,0.96723,0.004685,0.004685,0.004685
9,143.584,1.31613,0.93176,0.96927,0.55086,0.53059,0.50519,0.27852,1.30723,0.91686,0.98055,0.00464,0.00464,0.00464
10,159.049,1.25838,0.88218,0.95467,0.51178,0.53172,0.52748,0.31209,1.13557,0.94897,0.93447,0.004595,0.004595,0.004595
11,174.477,1.26306,0.88511,0.95411,0.47405,0.57382,0.52986,0.3075,1.17997,0.90749,0.96352,0.00455,0.00455,0.00455
12,189.743,1.24782,0.87076,0.9499,0.4661,0.57136,0.52824,0.30059,1.13662,0.98673,0.94283,0.004505,0.004505,0.004505
13,205.001,1.22781,0.85345,0.94823,0.59771,0.53805,0.54424,0.31468,1.16571,0.81169,0.94593,0.00446,0.00446,0.00446
14,220.264,1.21566,0.84324,0.94095,0.58291,0.54169,0.56328,0.31235,1.23071,0.89542,0.9704,0.004415,0.004415,0.004415
15,235.768,1.23874,0.85365,0.94347,0.56205,0.52117,0.53841,0.31075,1.13744,0.85427,0.93737,0.00437,0.00437,0.00437
16,250.847,1.20414,0.84228,0.93816,0.5876,0.55935,0.58206,0.33638,1.10692,0.78886,0.92938,0.004325,0.004325,0.004325
17,266.254,1.19026,0.82358,0.93545,0.64038,0.49634,0.5621,0.30493,1.26117,0.82189,0.9621,0.00428,0.00428,0.00428
18,281.652,1.19738,0.81588,0.93869,0.55262,0.56522,0.56616,0.33064,1.07491,0.81799,0.9139,0.004235,0.004235,0.004235
19,297.315,1.19405,0.81967,0.93611,0.60861,0.56247,0.59085,0.35251,1.1032,0.77335,0.93315,0.00419,0.00419,0.00419
20,313.067,1.18748,0.81619,0.93639,0.5987,0.54885,0.5807,0.34389,1.08223,0.78864,0.92963,0.004145,0.004145,0.004145
21,328.737,1.1608,0.77673,0.92201,0.54293,0.5905,0.56503,0.33748,1.08871,0.74986,0.91949,0.0041,0.0041,0.0041
22,345.118,1.15722,0.78748,0.92041,0.60228,0.562,0.5884,0.34942,1.09058,0.75041,0.91479,0.004055,0.004055,0.004055
23,363.745,1.14574,0.77989,0.91912,0.54605,0.56249,0.53956,0.32127,1.09727,0.79079,0.92607,0.00401,0.00401,0.00401
24,381.322,1.15727,0.784,0.91873,0.65357,0.54124,0.59544,0.35104,1.04702,0.73369,0.90475,0.003965,0.003965,0.003965
25,398.679,1.14178,0.759,0.91985,0.59761,0.57314,0.59204,0.34819,1.05405,0.76826,0.90805,0.00392,0.00392,0.00392
26,413.873,1.14328,0.77363,0.92023,0.57455,0.58185,0.60095,0.34786,1.07807,0.78145,0.92222,0.003875,0.003875,0.003875
27,429.018,1.12493,0.75678,0.91077,0.61978,0.57045,0.60532,0.36069,1.04884,0.71703,0.91012,0.00383,0.00383,0.00383
28,444.192,1.11396,0.74847,0.91309,0.68957,0.55734,0.61871,0.36365,1.04417,0.7229,0.90441,0.003785,0.003785,0.003785
29,459.535,1.10774,0.73554,0.91112,0.65184,0.54791,0.60382,0.36347,1.05777,0.73286,0.91347,0.00374,0.00374,0.00374
30,474.866,1.12216,0.74605,0.91388,0.62543,0.5509,0.60524,0.36131,1.05043,0.7301,0.90631,0.003695,0.003695,0.003695
31,490.122,1.10989,0.74195,0.90788,0.62614,0.59369,0.61979,0.3655,1.03555,0.6978,0.89899,0.00365,0.00365,0.00365
32,505.426,1.10785,0.7372,0.90531,0.63982,0.59688,0.628,0.37144,1.03787,0.70088,0.89887,0.003605,0.003605,0.003605
33,520.861,1.09033,0.71016,0.90158,0.6685,0.5974,0.6362,0.37781,1.02623,0.68443,0.9004,0.00356,0.00356,0.00356
34,536.039,1.09184,0.71935,0.90217,0.59139,0.62161,0.6168,0.36192,1.04306,0.732,0.90166,0.003515,0.003515,0.003515
35,551.26,1.10429,0.72525,0.90334,0.64511,0.59676,0.62918,0.37342,1.02252,0.67015,0.89613,0.00347,0.00347,0.00347
36,566.722,1.09281,0.70324,0.89821,0.62266,0.59088,0.63074,0.38309,1.01477,0.67482,0.88994,0.003425,0.003425,0.003425
37,582.086,1.08582,0.70362,0.90118,0.62514,0.60491,0.6295,0.37768,1.00846,0.69216,0.89294,0.00338,0.00338,0.00338
38,597.331,1.08937,0.71624,0.90425,0.63935,0.55474,0.61317,0.35979,1.0528,0.76604,0.9095,0.003335,0.003335,0.003335
39,612.572,1.08525,0.71352,0.90059,0.62967,0.59631,0.63159,0.37385,1.01226,0.70289,0.88926,0.00329,0.00329,0.00329
40,628.09,1.07215,0.69271,0.89599,0.59381,0.62463,0.63655,0.37983,1.00533,0.6919,0.88824,0.003245,0.003245,0.003245
41,643.308,1.06742,0.68797,0.8973,0.6481,0.61246,0.65359,0.39341,0.99506,0.66333,0.88832,0.0032,0.0032,0.0032
42,659.038,1.07009,0.69587,0.89467,0.68004,0.59507,0.64041,0.38751,1.01636,0.67145,0.88868,0.003155,0.003155,0.003155
43,674.287,1.06381,0.68637,0.89496,0.70801,0.56754,0.65772,0.40405,0.96901,0.67212,0.87695,0.00311,0.00311,0.00311
44,689.671,1.06109,0.69049,0.89453,0.6324,0.60935,0.643,0.38823,0.99605,0.68295,0.88616,0.003065,0.003065,0.003065
